pcd7,pcd8,pcds,dointr,doterm,usrtypind,east1m,north1m,gridind,oa21cd,cty25cd,ced25cd,lad25cd,wd25cd,nhser24cd,ctry25cd,rgn25cd,pcon24cd,ttwa15cd,itl25cd,npark16cd,lsoa21cd,msoa21cd,wz11cd,sicbl26cd,bua24cd,ruc21ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,icb26cd,ttwa_name
WA6 8EU,WA6  8EU,WA6 8EU,198001,,0,354723,375046,1,E00094382,E99999999,E99999999,E06000050,E05012234,E40000014,E92000001,E12000002,E14001455,E30000284,E06000050,E65000001,E01018698,E02003877,E33007674,E38000233,E63008680,RLN1,6A3,53.270473,-2.680358,E37000003,,E23000006,29844,E54000008,Warrington and Wigan
NE5 2HD,NE5  2HD,NE5 2HD,198001,,0,421018,565947,1,E00042333,E11000007,E99999999,E08000021,E05011460,E40000012,E92000001,E12000001,E14001377,E30000245,E08000021,E65000001,E01008344,E02001726,E33001023,E38000212,E63007169,UN1,8C3,54.987683,-1.673089,E37000025,,E23000007,5756,E54000050,Newcastle
PL5 9BT,PL5  9BT,PL5 9BT,201212,201312,1,246173,59184,1,E00076189,E99999999,E99999999,E06000026,E05002085,E40000006,E92000001,E12000009,E14001426,E30000253,E06000026,E65000001,E01015085,E02003127,E33047866,E38000230,E63014082,UN1,8A1,50.412319,-4.166401,E37000016,,E23000035,7883,E54000037,Plymouth
HU164XY,HU16 4XY,HU16 4XY,200106,200709,1,504565,432754,1,E00065358,E99999999,E99999999,E06000011,E05001691,E40000012,E92000001,E12000003,E14001314,E30000220,E06000011,E65000001,E01012957,E02002708,E33012988,E38000052,E63007898,UN1,5B1,53.780643,-0.414599,E37000061,,E23000012,27761,E54000051,Hull
NR257YQ,NR25 7YQ,NR25 7YQ,199507,199806,1,605102,342612,6,E00135947,E10000020,E58000994,E07000147,E05011837,E40000013,E92000001,E12000006,E14001396,E30000198,E07000147,E65000001,E01026741,E02005573,E33028030,E38000239,E63009062,RSF1,1B3,52.941716,1.050952,E37000052,,E23000024,13124,E54000068,Cromer and Sheringham
SS118EY,SS11 8EY,SS11 8EY,199806,199912,1,576007,193345,6,E00108371,E10000012,E58000468,E07000066,E05015649,E40000013,E92000001,E12000006,E14001437,E30000268,E07000066,E65000001,E01021340,E02004430,E33026222,E38000007,E63011853,UN1,6B2,51.611426,0.540608,E37000056,,E23000028,23429,E54000066,Southend
SE277AG,SE27 7AG,SE27 7AG,200812,201101,1,,,9,,,,,,,,,,,,,,,,,,,,99.999999,0,,,,0,,#N/A
TN394DF,TN39 4DF,TN39 4DF,198001,,0,573524,108968,1,E00107344,E10000011,E58000357,E07000064,E05011612,E40000005,E92000001,E12000008,E14001088,E30000061,E07000064,E65000001,E01021130,E02004401,E33041740,E38000235,E63013637,UN1,5B3,50.854193,0.463946,E37000056,,E23000033,18880,E54000069,Hastings
OL2 7SD,OL2  7SD,OL2 7SD,198001,,0,393462,409368,1,E00027113,E11000001,E99999999,E08000004,E05014651,E40000014,E92000001,E12000002,E14001415,E30000239,E08000004,E65000001,E01005358,E02001098,E33005146,E38000135,E63008223,UN1,5A3,53.580879,-2.100219,E37000015,,E23000005,7319,E54000057,Manchester
LN110UL,LN11 0UL,LN11 0UL,198001,,0,531667,391973,1,E00132174,E10000019,E58000923,E07000137,E05009880,E40000011,E92000001,E12000004,E14001343,E30000211,E07000137,E65000001,E01026045,E02005424,E33016644,E38000238,E63008464,RSN1,1B3,53.408177,-0.020736,E37000060,,E23000020,11365,E54000013,Grimsby
